"Naam gemeente, naam oude gemeente (van voor de fusie), van het district
een asterisk (*) achter de naam van een oude gemeente betekent dat het slechts gaat om een deel van de oude gemeente";NIS-code;Lettercode voor de oude gemeente
BORLEZ;64076;B   
BORLO*;71017;E   
BORLON;83012;F   
BORMEM;12007;A   
BORNEM;12007;    
BORNIVAL;25072;E   
BORSBEEK;11007;    
BORSBEEK;11007;A   
BORSBEKE;41027;C   
BOSSIERE;92142;E   
BOSSUIT;34003;E   
BOSSUT-GOTTECHAIN*;25037;D   
BOST;24107;C   
BOTHEY;92142;G   
BOTTELARE;44043;B   
BOUFFIOULX;52012;C   
BOUGE;92094;K   
BOUGNIES;53084;J   
BOUILLON;84010;    
BOUILLON;84010;A   
BOURLERS;56016;H   
BOURSEIGNE-NEUVE;91054;G   
BOURSEIGNE-VIEILLE;91054;H   
BOUSSOIT;55022;G   
BOUSSU;53014;    
BOUSSU;53014;A   
BOUSSU-EN-FAGNE;93014;M   
BOUSSU-LEZ-WALCOURT;56029;D   
BOUSVAL;25031;H   
BOUTERSEM;24016;    
BOUTERSEM;24016;A   
BOUVIGNIES;51004;U   
BOUWEL;13010;B   
BOVEKERKE;32010;B   
BOVENISTIER;64074;E   
BOVESSE;92141;C   
BOVIGNY;82037;A   
BRA*;63045;B   
BRAFFE;57064;G   
BRAIBANT;91030;J   
BRAINE-L'ALLEUD;25014;    
BRAINE-L'ALLEUD*;25014;A   
BRAINE-LE-CHATEAU;25015;    
BRAINE-LE-CHATEAU;25015;A   
BRAINE-LE-COMTE;55004;    
BRAINE-LE-COMTE;55004;A   
BRAIVES;64015;    
BRAIVES;64015;A   
BRAKEL;45059;    
BRANCHON;92035;J   
BRAS;84077;B   
BRASMENIL;57064;D   
BRASSCHAAT;11008;    
BRASSCHAAT;11008;A   
BRAY;56011;G   
BRECHT;11009;    
BRECHT*;11009;A   
BREDENE;35002;    
BREDENE;35002;A   
BREE;72004;    
BREE;72004;A   
BREENDONK* + DEEL TISSELT;12030;C   
BRESSOUX;62063;E   
BRIELEN;33011;B   
BROECHEM;11035;C   
BROEKOM;73009;H   
BRUGELETTE;51012;    
BRUGELETTE;51012;A   
BRUGGE;31005;    
BRUGGE;31005;A   
BRULY;93014;C   
BRULY-DE-PESCHE;93014;F   
BRUNEHAUT;57093;    
BRUSSEGEM*;23052;B   
BRUSSEL;21004;    
BRUSSEL PENTAGOON;21004;A   
BRUSSEL-ANTWERPSE STWG;21004;D   
BRUSSEL-HAREN;21004;G   
BRUSSEL-LAKEN;21004;E   
BRUSSEL-LOUISA;21004;C   
BRUSSEL-NEDER-OVERHEEMBEEK;21004;F   
BRUSSEL-WETSTRAAT;21004;B   
BRUSTEM;71053;J   
BRUXELLES;21004;    
BRUXELLES PENTAGONE;21004;A   
BRUXELLES-CHAUSSEE D'ANVERS;21004;D   
BRUXELLES-HAREN;21004;G   
BRUXELLES-LAEKEN;21004;E   
BRUXELLES-LOUISE;21004;C   
BRUXELLES-NEDER-OVERHEEMBEEK;21004;F   
BRUXELLES-RUE DE LA LOI;21004;B   
BRUYELLE;57003;E   
BRYE;52021;H   
BUDINGEN;24130;E   
BUGGENHOUT;42004;    
BUGGENHOUT;42004;A   
BUISSENAL;51065;C   
BUISSONVILLE+PARTIE DE HUMAIN;91114;L   
BUIZINGEN;23027;B   
BUKEN;23038;B   
BULLINGEN;63012;    
BULLINGEN;63012;A   
BULSKAMP;38025;G   
BUNSBEEK*;24137;C   
BURCHT;11056;B   
BURDINNE;61010;    
BURDINNE;61010;A   
BURE;84068;B   
BURG-REULAND;63087;    
BURST;41082;D   
BURY;57064;H   
BUTGENBACH;63013;    
BUTGENBACH;63013;A   
BUVINGEN;71017;D   
BUVRINNES;56011;E   
BUZENOL;85009;D   
BUZET;52055;C   
CALLENELLE;57064;C   
CALONNE;57003;F   
CAMBRON - CASTEAU;51012;C   
CAMBRON-SAINT-VINCENT;53046;D   
CARLSBOURG;84050;G   
CARNIERES;56087;B   
CASTEAU*;55040;D   
CASTILLON;93088;D   
CELLES;57018;    
