name,zipCode,nisCode,province
Brasmenil,7604,57064,Henegouwen
Brasschaat,2930,11008,Antwerpen
Bray,7130,56011,Henegouwen
Brecht,2960,11009,Antwerpen
Bredene,8450,35002,West-Vlaanderen
Bree,3960,72004,Limburg
Breendonk,2870,12030,Antwerpen
Bressoux,4020,62063,Luik
Brielen,8900,33011,West-Vlaanderen
Broechem,2520,11035,Antwerpen
Broekom,3840,73009,Limburg
Brugelette,7940,51012,Henegouwen
Brugge,8000,31005,West-Vlaanderen
Brussegem,1785,23052,Vlaams-Brabant
Brussel,1000,21004,Brussel
Brustem,3800,71053,Limburg
Bruyelle,7641,57003,Henegouwen
Brye,6222,52021,Henegouwen
Brûly,5660,93014,Namen
Brûly-De-Pesche,5660,93014,Namen
Budingen,3440,24130,Vlaams-Brabant
Buggenhout,9255,42004,Oost-Vlaanderen
Buissenal,7911,51065,Henegouwen
Buissonville,5580,91114,Namen
Buizingen,1501,23027,Vlaams-Brabant
Buken,1910,23038,Vlaams-Brabant
Bullange,4760,63012,Luik
Bulskamp,8630,38025,West-Vlaanderen
Bunsbeek,3380,24137,Vlaams-Brabant
Burcht,2070,11056,Antwerpen
Burdinne,4210,61010,Luik
Bure,6927,84068,Luxemburg
Burst,9420,41082,Oost-Vlaanderen
Bury,7602,57064,Henegouwen
Butgenbach,4750,63013,Luik
Buvingen,3891,71017,Limburg
Buvrinnes,7133,56011,Henegouwen
Buzenol,6743,85009,Luxemburg
Buzet,6230,52055,Henegouwen
Callenelle,7604,57064,Henegouwen
Calonne,7642,57003,Henegouwen
Cambron-Casteau,7940,51012,Henegouwen
Cambron-Saint-Vincent,7870,53046,Henegouwen
Carlsbourg,6850,84050,Luxemburg
Carnières,7141,56087,Henegouwen
Casteau,7061,55040,Henegouwen
Castillon,5650,93088,Namen
Celles,4317,91072,Luik
Celles,5561,91072,Namen
Celles,7760,91072,Henegouwen
Cerfontaine,5630,93010,Namen
Chaineux,4650,63035,Luik
Chairière,5550,91143,Namen
Champion,5020,92094,Namen
Champlon,6971,83049,Luxemburg
Chanly,6921,84075,Luxemburg
Chantemelle,6742,85009,Luxemburg
Chapelle-lez-herlaimont,7160,52010,Henegouwen
Chapelle-À-Oie,7903,57094,Henegouwen
Chapelle-À-Wattines,7903,57094,Henegouwen
Chapon-Seraing,4537,61063,Luik
Charleroi,6000,52011,Henegouwen
Charneux,4654,63035,Luik
Chassepierre,6824,85011,Luxemburg
Chastre-Villeroux-Blanmont,1450,25117,Waals-Brabant
Chastrès,5650,93088,Namen
Chaudfontaine,4050,62022,Luik
Chaumont-gistoux,1325,25018,Waals-Brabant
Chaussée-Notre-Dame-Louvignies,7063,55040,Henegouwen
Cherain,6673,82037,Luxemburg
Cheratte,4602,62108,Luik
Chercq,7521,57081,Henegouwen
Chevetogne,5590,91030,Namen
Chevron,4987,63075,Luik
Chimay,6460,56016,Henegouwen
Chiny,6810,85007,Luxemburg
Chièvres,7950,51014,Henegouwen
Chokier,4400,62120,Luik
Châtelet,6200,52012,Henegouwen
Châtelineau,6200,52012,Henegouwen
Châtillon,6747,85034,Luxemburg
Chênee,4032,62063,Luik
Ciergnon,5560,91072,Namen
Ciney,5590,91030,Namen
Ciplet,4260,64015,Luik
Ciply,7024,53053,Henegouwen
Clabecq,1480,25105,Waals-Brabant
Clavier,4560,61012,Luik
Clermont,4890,93088,Luik
Clermont,5650,93088,Namen
Clermont-Sous-Huy,4480,61080,Luik
Cognelée,5022,92094,Namen
Colfontaine,7340,53082,Henegouwen
Comblain-Fairon,4180,61024,Luik
Comblain-La-Tour,4180,61024,Luik
Comblain-au-pont,4170,62026,Luik
Conneux,5590,91030,Namen
Corbais,1435,25068,Waals-Brabant
Corbion,6838,84010,Luxemburg
Cordes,7910,51065,Henegouwen
Corenne,5620,93022,Namen
Cornesse,4860,63058,Luik
Cornimont,5555,85039,Namen
Corroy-Le-Château,5032,92142,Namen
Corroy-Le-Grand,1325,25018,Waals-Brabant
Corswarem,4257,64008,Luik
Cortil-Noirmont,1450,25117,Waals-Brabant
Cortil-Wodon,5380,92138,Namen
Couillet,6010,52011,Henegouwen
Cour-Sur-Heure,6120,56086,Henegouwen
Courcelles,6180,52015,Henegouwen
Courrière,5336,92006,Namen
Court-saint-etienne,1490,25023,Waals-Brabant
Couthuin,4218,61028,Luik
Coutisse,5300,92003,Namen
Couture-Saint-Germain,1380,25119,Waals-Brabant
Couvin,5660,93014,Namen
Cras-Avernas,4280,64034,Luik
Crehen,4280,64034,Luik
Crisnée,4367,64021,Luik
Croix-Lez-Rouveroy,7120,56085,Henegouwen
Crombach,4784,63067,Luik
Crupet,5332,92006,Namen
Cuesmes,7033,53053,Henegouwen
Cugnon,6880,84009,Luxemburg
Cul-Des-Sarts,5660,93014,Namen
Custinne,5562,91072,Namen
Cérexhe-Heuseux,4632,62099,Luik
Céroux-Mousty,1341,25121,Waals-Brabant
Dadizele,8890,36012,West-Vlaanderen
Dailly,5660,93014,Namen
Daknam,9160,46014,Oost-Vlaanderen
Dalhem,4607,62027,Luik
Damme,8340,31006,West-Vlaanderen
Dampicourt,6767,85047,Luxemburg
Dampremy,6020,52011,Henegouwen
Darion,4253,64029,Luik
Daussois,5630,93010,Namen
Daussoulx,5020,92094,Namen
Dave,5100,92094,Namen
Daverdisse,6929,84016,Luxemburg
De Haan,8420,35029,West-Vlaanderen
De Klinge,9170,46020,Oost-Vlaanderen
De Moeren,8630,38025,West-Vlaanderen
De Panne,8660,38008,West-Vlaanderen
De Pinte,9840,44012,Oost-Vlaanderen
Deerlijk,8540,34009,West-Vlaanderen
Deftinge,9570,45063,Oost-Vlaanderen
Deinze,9800,44011,Oost-Vlaanderen
Denderbelle,9280,42011,Oost-Vlaanderen
Denderhoutem,9450,41024,Oost-Vlaanderen
Denderleeuw,9470,41011,Oost-Vlaanderen
Dendermonde,9200,42006,Oost-Vlaanderen
Denderwindeke,9400,41048,Oost-Vlaanderen
Dentergem,8720,37002,West-Vlaanderen
Denée,5537,91005,Namen
Dergneau,7912,51065,Henegouwen
Dessel,2480,13006,Antwerpen
Desselgem,8792,34040,West-Vlaanderen
Destelbergen,9070,44013,Oost-Vlaanderen
Desteldonk,9042,44014,Oost-Vlaanderen
Deurle,9831,44064,Oost-Vlaanderen
Deurne,2100,24020,Antwerpen
Deurne,3290,24020,Vlaams-Brabant
Deux-Acren,7864,55023,Henegouwen
Dhuy,5310,92035,Namen
Diegem,1831,23047,Vlaams-Brabant
Diepenbeek,3590,71011,Limburg
Diest,3290,24020,Vlaams-Brabant
Diets-Heur,3700,73083,Limburg
Dikkebus,8900,33011,West-Vlaanderen
Dikkele,9630,45065,Oost-Vlaanderen
Dikkelvenne,9890,44020,Oost-Vlaanderen
Diksmuide,8600,32003,West-Vlaanderen
Dilbeek,1700,23016,Vlaams-Brabant
Dilsen,3650,72041,Limburg
Dilsen-stokkem,3650,72041,Limburg
Dinant,5500,91034,Namen
Dion,5570,91013,Namen
Dion-Valmont,1325,25018,Waals-Brabant
Dison,4820,63020,Luik
Dochamps,6960,83055,Luxemburg
Doel,9130,46003,Oost-Vlaanderen
Dohan,6836,84010,Luxemburg
Doische,5680,93018,Namen
Dolembreux,4140,62100,Luik
Donceel,4357,64023,Luik
Dongelberg,1370,25048,Waals-Brabant
Donk,3540,71024,Limburg
